scenario,scheduler,policy,duration,base_access_utilization,isolated_cold_wcet_utilization,jobs_released,jobs_completed,deadline_misses,preemptions,cache_hits,cache_misses,cross_task_evictions,crpd_cycles,analytic_crpd_bound,busy_cycles,idle_cycles,average_response_time,max_response_time,override_miss_penalty
sched_compare,rms,shared,420,0.300047,0.573066,66,65,0,10,43,88,77,2,752,221,199,4.169231,21,1
sched_compare,rms,shared,420,0.300047,0.846086,66,65,0,18,43,86,76,6,1504,305,115,6.646154,54,2
sched_compare,rms,shared,420,0.300047,1.392125,66,54,14,36,30,75,74,48,3008,420,0,9.092593,36,4
sched_compare,rms,shared,420,0.300047,1.938164,66,48,20,31,37,59,52,36,4512,420,0,7.916667,30,6
sched_compare,rms,shared,420,0.300047,2.484203,66,46,24,34,43,48,38,24,6016,420,0,8.565217,36,8
sched_compare,rms,colored,420,0.300047,0.573066,66,66,0,9,85,47,31,2,368,181,239,3.393939,21,1
sched_compare,rms,colored,420,0.300047,0.846086,66,65,0,12,84,47,31,4,736,229,191,4.584615,54,2
sched_compare,rms,colored,420,0.300047,1.392125,66,62,5,24,80,43,31,24,1472,310,110,6.290323,28,4
sched_compare,rms,colored,420,0.300047,1.938164,66,60,7,29,81,39,24,18,2208,357,63,7.066667,57,6
sched_compare,rms,colored,420,0.300047,2.484203,66,52,16,42,71,39,25,32,2944,406,14,6.076923,42,8
sched_compare,rms,partitioned,420,0.300047,0.573066,66,66,0,7,110,22,0,0,0,154,266,2.893939,21,1
sched_compare,rms,partitioned,420,0.300047,0.846086,66,66,0,10,110,22,0,0,0,176,244,3.772727,54,2
sched_compare,rms,partitioned,420,0.300047,1.392125,66,64,3,13,104,22,0,0,0,213,207,4.281250,41,4
sched_compare,rms,partitioned,420,0.300047,1.938164,66,61,6,15,101,22,0,0,0,244,176,4.147541,42,6
sched_compare,rms,partitioned,420,0.300047,2.484203,66,58,11,22,95,22,0,0,0,275,145,4.103448,35,8
sched_compare,edf,shared,420,0.300047,0.573066,66,65,0,8,42,89,78,2,722,221,199,4.200000,21,1
sched_compare,edf,shared,420,0.300047,0.846086,66,65,0,13,42,87,75,2,1444,303,117,6.553846,47,2
sched_compare,edf,shared,420,0.300047,1.392125,66,54,16,16,36,77,70,24,2888,420,0,13.351852,53,4
sched_compare,edf,shared,420,0.300047,1.938164,66,39,38,17,36,56,53,60,4332,420,0,16.666667,33,6
sched_compare,edf,shared,420,0.300047,2.484203,66,27,49,23,31,46,43,64,5776,420,0,18.444444,37,8
sched_compare,edf,colored,420,0.300047,0.573066,66,66,0,8,85,47,31,2,368,181,239,3.424242,21,1
sched_compare,edf,colored,420,0.300047,0.846086,66,65,0,9,84,47,31,4,736,229,191,4.553846,47,2
sched_compare,edf,colored,420,0.300047,1.392125,66,60,6,18,83,43,30,20,1472,306,114,7.200000,45,4
sched_compare,edf,colored,420,0.300047,1.938164,66,57,10,16,85,38,23,18,2208,331,89,8.105263,49,6
sched_compare,edf,colored,420,0.300047,2.484203,66,50,21,25,74,39,27,48,2944,413,7,11.980000,52,8
sched_compare,edf,partitioned,420,0.300047,0.573066,66,66,0,6,110,22,0,0,0,154,266,2.909091,21,1
sched_compare,edf,partitioned,420,0.300047,0.846086,66,66,0,7,110,22,0,0,0,176,244,3.712121,47,2
sched_compare,edf,partitioned,420,0.300047,1.392125,66,63,3,11,107,22,0,0,0,210,210,4.634921,46,4
sched_compare,edf,partitioned,420,0.300047,1.938164,66,58,10,11,104,22,0,0,0,235,185,4.534483,27,6
sched_compare,edf,partitioned,420,0.300047,2.484203,66,57,13,14,98,22,0,0,0,265,155,6.421053,53,8
crpd_peak,rms,shared,420,1.016667,1.900000,77,56,20,35,184,107,121,29,1280,420,0,7.767857,30,1
crpd_peak,rms,shared,420,1.016667,2.783333,77,50,25,36,182,77,78,32,2560,420,0,7.980000,19,2
crpd_peak,rms,shared,420,1.016667,4.550000,77,45,30,32,194,49,39,20,5120,420,0,6.644444,17,4
crpd_peak,rms,shared,420,1.016667,6.316667,77,45,30,36,191,41,32,30,7680,420,0,8.466667,19,6
crpd_peak,rms,shared,420,1.016667,8.083333,77,39,35,24,190,36,22,0,10240,420,0,6.128205,17,8
crpd_peak,rms,colored,420,1.016667,1.900000,77,61,21,39,289,59,55,19,638,420,0,7.295082,25,1
crpd_peak,rms,colored,420,1.016667,2.783333,77,60,22,39,277,43,32,24,1276,420,0,7.883333,27,2
crpd_peak,rms,colored,420,1.016667,4.550000,77,55,26,35,262,33,19,28,2552,420,0,7.709091,29,4
crpd_peak,rms,colored,420,1.016667,6.316667,77,53,27,36,250,31,10,6,3828,420,0,7.584906,30,6
crpd_peak,rms,colored,420,1.016667,8.083333,77,50,29,32,235,26,7,16,5104,420,0,6.820000,29,8
crpd_peak,rms,partitioned,420,1.016667,1.900000,77,66,21,40,363,29,0,0,0,420,0,8.393939,30,1
crpd_peak,rms,partitioned,420,1.016667,2.783333,77,65,22,39,336,29,0,0,0,420,0,8.723077,30,2
crpd_peak,rms,partitioned,420,1.016667,4.550000,77,60,25,37,296,29,0,0,0,420,0,8.166667,30,4
crpd_peak,rms,partitioned,420,1.016667,6.316667,77,56,27,36,271,28,0,0,0,420,0,7.875000,30,6
crpd_peak,rms,partitioned,420,1.016667,8.083333,77,53,28,36,254,24,0,0,0,420,0,7.000000,30,8
crpd_peak,edf,shared,420,1.016667,1.900000,77,42,51,11,198,113,100,3,1224,420,0,16.690476,42,1
crpd_peak,edf,shared,420,1.016667,2.783333,77,34,56,9,198,78,64,4,2448,420,0,19.411765,50,2
crpd_peak,edf,shared,420,1.016667,4.550000,77,28,61,12,181,50,37,12,4896,420,0,22.357143,54,4
crpd_peak,edf,shared,420,1.016667,6.316667,77,19,65,17,143,44,34,36,7344,420,0,27.789474,58,6
crpd_peak,edf,shared,420,1.016667,8.083333,77,9,66,19,68,35,28,72,9792,420,0,15.777778,60,8
crpd_peak,edf,colored,420,1.016667,1.900000,77,60,31,11,316,49,26,0,638,413,7,14.900000,42,1
crpd_peak,edf,colored,420,1.016667,2.783333,77,49,42,15,277,48,27,4,1276,418,2,16.102041,50,2
crpd_peak,edf,colored,420,1.016667,4.550000,77,33,57,11,210,44,25,8,2552,420,0,20.000000,54,4
crpd_peak,edf,colored,420,1.016667,6.316667,77,23,64,16,156,41,26,24,3828,420,0,26.000000,58,6
crpd_peak,edf,colored,420,1.016667,8.083333,77,9,66,19,68,35,28,72,5104,420,0,15.777778,60,8
crpd_peak,edf,partitioned,420,1.016667,1.900000,77,63,26,8,344,29,0,0,0,402,18,14.349206,42,1
crpd_peak,edf,partitioned,420,1.016667,2.783333,77,56,31,11,325,29,0,0,0,407,13,14.732143,50,2
crpd_peak,edf,partitioned,420,1.016667,4.550000,77,47,41,13,281,29,0,0,0,411,9,16.361702,54,4
crpd_peak,edf,partitioned,420,1.016667,6.316667,77,39,50,14,250,29,0,0,0,414,6,17.769231,58,6
crpd_peak,edf,partitioned,420,1.016667,8.083333,77,30,56,17,189,29,0,0,0,417,3,16.166667,60,8
