scenario,scheduler,policy,duration,base_access_utilization,isolated_cold_wcet_utilization,jobs_released,jobs_completed,deadline_misses,preemptions,cache_hits,cache_misses,cross_task_evictions,crpd_cycles,analytic_crpd_bound,busy_cycles,idle_cycles,average_response_time,max_response_time
demo,rms,shared,240,0.805556,3.361111,41,27,13,20,105,27,19,24,1344,240,0,7.777778,17
demo,rms,partitioned,240,0.805556,3.361111,41,31,9,21,142,20,0,0,0,233,7,7.032258,29
demo,rms,colored,240,0.805556,3.361111,41,27,12,19,119,25,6,8,672,240,0,7.333333,17
demo,edf,shared,240,0.805556,3.361111,41,29,11,17,122,24,12,16,1344,240,0,7.379310,13
demo,edf,partitioned,240,0.805556,3.361111,41,30,10,21,143,20,0,0,0,233,7,6.700000,29
demo,edf,colored,240,0.805556,3.361111,41,28,11,17,120,26,6,8,672,240,0,7.785714,15
harmonic,rms,shared,320,0.850000,2.575000,60,45,13,27,139,41,40,33,2844,320,0,7.822222,20
harmonic,rms,partitioned,320,0.850000,2.575000,60,53,7,29,217,24,0,0,0,308,12,9.528302,74
harmonic,rms,colored,320,0.850000,2.575000,60,51,8,30,184,32,23,27,1548,320,0,9.549020,38
harmonic,edf,shared,320,0.850000,2.575000,60,45,13,27,139,41,40,33,2844,320,0,7.822222,20
harmonic,edf,partitioned,320,0.850000,2.575000,60,53,7,29,217,24,0,0,0,308,12,9.528302,74
harmonic,edf,colored,320,0.850000,2.575000,60,51,8,30,184,32,23,27,1548,320,0,9.549020,38
stress,rms,shared,352,0.865260,3.543831,54,33,18,25,146,35,28,25,4590,352,0,8.787879,22
stress,rms,partitioned,352,0.865260,3.543831,54,43,10,23,224,22,0,0,0,348,4,11.302326,85
stress,rms,colored,352,0.865260,3.543831,54,40,12,26,198,25,12,25,2430,352,0,8.600000,42
stress,edf,shared,352,0.865260,3.543831,54,33,18,15,148,34,29,35,4590,352,0,10.939394,20
stress,edf,partitioned,352,0.865260,3.543831,54,44,9,22,233,24,0,0,0,352,0,13.750000,86
stress,edf,colored,352,0.865260,3.543831,54,38,14,19,192,29,16,25,2430,352,0,10.973684,37
sched_compare,rms,shared,420,0.300047,0.846086,66,65,0,18,43,86,76,6,1504,305,115,6.646154,54
sched_compare,rms,partitioned,420,0.300047,0.846086,66,66,0,10,110,22,0,0,0,176,244,3.772727,54
sched_compare,rms,colored,420,0.300047,0.846086,66,65,0,12,84,47,31,4,736,229,191,4.584615,54
sched_compare,edf,shared,420,0.300047,0.846086,66,65,0,13,42,87,75,2,1444,303,117,6.553846,47
sched_compare,edf,partitioned,420,0.300047,0.846086,66,66,0,7,110,22,0,0,0,176,244,3.712121,47
sched_compare,edf,colored,420,0.300047,0.846086,66,65,0,9,84,47,31,4,736,229,191,4.553846,47
crpd_peak,rms,shared,420,1.016667,6.316667,77,45,30,36,191,41,32,30,7680,420,0,8.466667,19
crpd_peak,rms,partitioned,420,1.016667,6.316667,77,56,27,36,271,28,0,0,0,420,0,7.875000,30
crpd_peak,rms,colored,420,1.016667,6.316667,77,53,27,36,250,31,10,6,3828,420,0,7.584906,30
crpd_peak,edf,shared,420,1.016667,6.316667,77,19,65,17,143,44,34,36,7344,420,0,27.789474,58
crpd_peak,edf,partitioned,420,1.016667,6.316667,77,39,50,14,250,29,0,0,0,414,6,17.769231,58
crpd_peak,edf,colored,420,1.016667,6.316667,77,23,64,16,156,41,26,24,3828,420,0,26.000000,58
