time,event,task,detail
0,release,T_irq,job_ready
0,release,T_ctrl,job_ready
0,release,T_vision,job_ready
0,release,T_map,job_ready
0,dispatch,T_irq,start_or_resume
3,complete,T_irq,job_complete
3,dispatch,T_ctrl,start_or_resume
9,complete,T_ctrl,job_complete
9,dispatch,T_vision,start_or_resume
15,release,T_irq,job_ready
15,preempt,T_vision,T_irq
15,dispatch,T_irq,start_or_resume
18,complete,T_irq,job_complete
18,dispatch,T_vision,start_or_resume
19,complete,T_vision,job_complete
19,dispatch,T_map,start_or_resume
24,release,T_ctrl,job_ready
24,preempt,T_map,T_ctrl
24,dispatch,T_ctrl,start_or_resume
30,complete,T_ctrl,job_complete
30,release,T_irq,job_ready
30,dispatch,T_irq,start_or_resume
33,complete,T_irq,job_complete
33,dispatch,T_map,start_or_resume
37,release,T_vision,job_ready
37,preempt,T_map,T_vision
37,dispatch,T_vision,start_or_resume
44,complete,T_vision,job_complete
44,dispatch,T_map,start_or_resume
45,release,T_irq,job_ready
45,preempt,T_map,T_irq
45,dispatch,T_irq,start_or_resume
48,complete,T_irq,job_complete
48,release,T_ctrl,job_ready
48,dispatch,T_ctrl,start_or_resume
52,complete,T_ctrl,job_complete
52,dispatch,T_map,start_or_resume
54,complete,T_map,job_complete
58,release,T_map,job_ready
58,dispatch,T_map,start_or_resume
60,release,T_irq,job_ready
60,preempt,T_map,T_irq
60,dispatch,T_irq,start_or_resume
63,complete,T_irq,job_complete
63,dispatch,T_map,start_or_resume
69,complete,T_map,job_complete
72,release,T_ctrl,job_ready
72,dispatch,T_ctrl,start_or_resume
74,release,T_vision,job_ready
75,release,T_irq,job_ready
75,preempt,T_ctrl,T_irq
75,dispatch,T_irq,start_or_resume
78,complete,T_irq,job_complete
78,dispatch,T_ctrl,start_or_resume
79,complete,T_ctrl,job_complete
79,dispatch,T_vision,start_or_resume
86,complete,T_vision,job_complete
90,release,T_irq,job_ready
90,dispatch,T_irq,start_or_resume
93,complete,T_irq,job_complete
96,release,T_ctrl,job_ready
96,dispatch,T_ctrl,start_or_resume
102,complete,T_ctrl,job_complete
105,release,T_irq,job_ready
105,dispatch,T_irq,start_or_resume
108,complete,T_irq,job_complete
111,release,T_vision,job_ready
111,dispatch,T_vision,start_or_resume
116,complete,T_vision,job_complete
116,release,T_map,job_ready
116,dispatch,T_map,start_or_resume
120,release,T_irq,job_ready
120,release,T_ctrl,job_ready
120,preempt,T_map,T_irq
120,dispatch,T_irq,start_or_resume
123,complete,T_irq,job_complete
123,dispatch,T_ctrl,start_or_resume
129,complete,T_ctrl,job_complete
129,dispatch,T_map,start_or_resume
135,release,T_irq,job_ready
135,preempt,T_map,T_irq
135,dispatch,T_irq,start_or_resume
136,complete,T_irq,job_complete
136,dispatch,T_map,start_or_resume
138,complete,T_map,job_complete
144,release,T_ctrl,job_ready
144,dispatch,T_ctrl,start_or_resume
148,complete,T_ctrl,job_complete
148,release,T_vision,job_ready
148,dispatch,T_vision,start_or_resume
150,release,T_irq,job_ready
150,preempt,T_vision,T_irq
150,dispatch,T_irq,start_or_resume
153,complete,T_irq,job_complete
153,dispatch,T_vision,start_or_resume
156,complete,T_vision,job_complete
165,release,T_irq,job_ready
165,dispatch,T_irq,start_or_resume
166,complete,T_irq,job_complete
168,release,T_ctrl,job_ready
168,dispatch,T_ctrl,start_or_resume
172,complete,T_ctrl,job_complete
174,release,T_map,job_ready
174,dispatch,T_map,start_or_resume
180,complete,T_map,job_complete
180,release,T_irq,job_ready
180,dispatch,T_irq,start_or_resume
183,complete,T_irq,job_complete
185,release,T_vision,job_ready
185,dispatch,T_vision,start_or_resume
192,complete,T_vision,job_complete
192,release,T_ctrl,job_ready
192,dispatch,T_ctrl,start_or_resume
195,release,T_irq,job_ready
195,preempt,T_ctrl,T_irq
195,dispatch,T_irq,start_or_resume
198,complete,T_irq,job_complete
198,dispatch,T_ctrl,start_or_resume
199,complete,T_ctrl,job_complete
210,release,T_irq,job_ready
210,dispatch,T_irq,start_or_resume
213,complete,T_irq,job_complete
216,release,T_ctrl,job_ready
216,dispatch,T_ctrl,start_or_resume
220,complete,T_ctrl,job_complete
222,release,T_vision,job_ready
222,dispatch,T_vision,start_or_resume
225,release,T_irq,job_ready
225,preempt,T_vision,T_irq
225,dispatch,T_irq,start_or_resume
228,complete,T_irq,job_complete
228,dispatch,T_vision,start_or_resume
232,release,T_map,job_ready
234,complete,T_vision,job_complete
234,dispatch,T_map,start_or_resume
240,release,T_irq,job_ready
240,release,T_ctrl,job_ready
240,preempt,T_map,T_irq
240,dispatch,T_irq,start_or_resume
243,complete,T_irq,job_complete
243,dispatch,T_ctrl,start_or_resume
249,complete,T_ctrl,job_complete
249,dispatch,T_map,start_or_resume
251,complete,T_map,job_complete
255,release,T_irq,job_ready
255,dispatch,T_irq,start_or_resume
258,complete,T_irq,job_complete
259,release,T_vision,job_ready
259,dispatch,T_vision,start_or_resume
264,complete,T_vision,job_complete
264,release,T_ctrl,job_ready
264,dispatch,T_ctrl,start_or_resume
268,complete,T_ctrl,job_complete
270,release,T_irq,job_ready
270,dispatch,T_irq,start_or_resume
273,complete,T_irq,job_complete
285,release,T_irq,job_ready
285,dispatch,T_irq,start_or_resume
286,complete,T_irq,job_complete
288,release,T_ctrl,job_ready
288,dispatch,T_ctrl,start_or_resume
290,release,T_map,job_ready
292,complete,T_ctrl,job_complete
292,dispatch,T_map,start_or_resume
296,release,T_vision,job_ready
296,preempt,T_map,T_vision
296,dispatch,T_vision,start_or_resume
300,release,T_irq,job_ready
300,preempt,T_vision,T_irq
300,dispatch,T_irq,start_or_resume
301,complete,T_irq,job_complete
301,dispatch,T_vision,start_or_resume
304,complete,T_vision,job_complete
304,dispatch,T_map,start_or_resume
310,complete,T_map,job_complete
312,release,T_ctrl,job_ready
312,dispatch,T_ctrl,start_or_resume
314,complete,T_ctrl,job_complete
315,release,T_irq,job_ready
315,dispatch,T_irq,start_or_resume
318,complete,T_irq,job_complete
330,release,T_irq,job_ready
330,dispatch,T_irq,start_or_resume
333,complete,T_irq,job_complete
333,release,T_vision,job_ready
333,dispatch,T_vision,start_or_resume
336,release,T_ctrl,job_ready
336,preempt,T_vision,T_ctrl
336,dispatch,T_ctrl,start_or_resume
340,complete,T_ctrl,job_complete
340,dispatch,T_vision,start_or_resume
345,release,T_irq,job_ready
345,preempt,T_vision,T_irq
345,dispatch,T_irq,start_or_resume
348,complete,T_irq,job_complete
348,release,T_map,job_ready
348,dispatch,T_vision,start_or_resume
349,complete,T_vision,job_complete
349,dispatch,T_map,start_or_resume
359,complete,T_map,job_complete
360,release,T_irq,job_ready
360,release,T_ctrl,job_ready
360,dispatch,T_irq,start_or_resume
363,complete,T_irq,job_complete
363,dispatch,T_ctrl,start_or_resume
369,complete,T_ctrl,job_complete
370,release,T_vision,job_ready
370,dispatch,T_vision,start_or_resume
375,complete,T_vision,job_complete
375,release,T_irq,job_ready
375,dispatch,T_irq,start_or_resume
378,complete,T_irq,job_complete
384,release,T_ctrl,job_ready
384,dispatch,T_ctrl,start_or_resume
390,complete,T_ctrl,job_complete
390,release,T_irq,job_ready
390,dispatch,T_irq,start_or_resume
391,complete,T_irq,job_complete
405,release,T_irq,job_ready
405,dispatch,T_irq,start_or_resume
406,complete,T_irq,job_complete
406,release,T_map,job_ready
406,dispatch,T_map,start_or_resume
407,release,T_vision,job_ready
407,preempt,T_map,T_vision
407,dispatch,T_vision,start_or_resume
408,release,T_ctrl,job_ready
408,preempt,T_vision,T_ctrl
408,dispatch,T_ctrl,start_or_resume
412,complete,T_ctrl,job_complete
412,dispatch,T_vision,start_or_resume
418,complete,T_vision,job_complete
418,dispatch,T_map,start_or_resume
