time,event,task,detail
0,release,T_irq,job_ready
0,release,T_ctrl,job_ready
0,release,T_map,job_ready
0,release,T_stream,job_ready
0,dispatch,T_irq,start_or_resume
14,drop,T_irq,new_release_overran_previous_job
14,release,T_irq,job_ready
14,preempt,T_irq,T_ctrl
14,dispatch,T_ctrl,start_or_resume
22,drop,T_ctrl,new_release_overran_previous_job
22,release,T_ctrl,job_ready
22,preempt,T_ctrl,T_irq
22,dispatch,T_irq,start_or_resume
28,drop,T_irq,new_release_overran_previous_job
28,release,T_irq,job_ready
28,dispatch,T_irq,start_or_resume
32,complete,T_irq,job_complete
32,dispatch,T_ctrl,start_or_resume
42,release,T_irq,job_ready
44,drop,T_ctrl,new_release_overran_previous_job
44,release,T_ctrl,job_ready
44,drop,T_map,new_release_overran_previous_job
44,release,T_map,job_ready
44,preempt,T_ctrl,T_irq
44,dispatch,T_irq,start_or_resume
48,complete,T_irq,job_complete
48,dispatch,T_ctrl,start_or_resume
54,complete,T_ctrl,job_complete
54,dispatch,T_map,start_or_resume
56,release,T_irq,job_ready
56,preempt,T_map,T_irq
56,dispatch,T_irq,start_or_resume
60,complete,T_irq,job_complete
60,dispatch,T_map,start_or_resume
66,release,T_ctrl,job_ready
66,preempt,T_map,T_ctrl
66,dispatch,T_ctrl,start_or_resume
70,release,T_irq,job_ready
70,preempt,T_ctrl,T_irq
70,dispatch,T_irq,start_or_resume
74,complete,T_irq,job_complete
74,dispatch,T_ctrl,start_or_resume
76,complete,T_ctrl,job_complete
76,dispatch,T_map,start_or_resume
84,release,T_irq,job_ready
88,release,T_ctrl,job_ready
88,drop,T_map,new_release_overran_previous_job
88,release,T_map,job_ready
88,drop,T_stream,new_release_overran_previous_job
88,release,T_stream,job_ready
88,preempt,T_map,T_irq
88,dispatch,T_irq,start_or_resume
92,complete,T_irq,job_complete
92,dispatch,T_ctrl,start_or_resume
98,complete,T_ctrl,job_complete
98,release,T_irq,job_ready
98,dispatch,T_irq,start_or_resume
102,complete,T_irq,job_complete
102,dispatch,T_map,start_or_resume
110,complete,T_map,job_complete
110,release,T_ctrl,job_ready
110,dispatch,T_ctrl,start_or_resume
112,release,T_irq,job_ready
112,preempt,T_ctrl,T_irq
112,dispatch,T_irq,start_or_resume
116,complete,T_irq,job_complete
116,dispatch,T_ctrl,start_or_resume
120,complete,T_ctrl,job_complete
120,dispatch,T_stream,start_or_resume
126,release,T_irq,job_ready
126,preempt,T_stream,T_irq
126,dispatch,T_irq,start_or_resume
130,complete,T_irq,job_complete
130,dispatch,T_stream,start_or_resume
132,release,T_ctrl,job_ready
132,release,T_map,job_ready
132,preempt,T_stream,T_ctrl
132,dispatch,T_ctrl,start_or_resume
138,complete,T_ctrl,job_complete
138,dispatch,T_map,start_or_resume
140,release,T_irq,job_ready
140,preempt,T_map,T_irq
140,dispatch,T_irq,start_or_resume
144,complete,T_irq,job_complete
144,dispatch,T_map,start_or_resume
150,complete,T_map,job_complete
150,dispatch,T_stream,start_or_resume
154,release,T_irq,job_ready
154,release,T_ctrl,job_ready
154,preempt,T_stream,T_irq
154,dispatch,T_irq,start_or_resume
158,complete,T_irq,job_complete
158,dispatch,T_ctrl,start_or_resume
164,complete,T_ctrl,job_complete
164,dispatch,T_stream,start_or_resume
168,release,T_irq,job_ready
176,release,T_ctrl,job_ready
176,release,T_map,job_ready
176,drop,T_stream,new_release_overran_previous_job
176,release,T_stream,job_ready
176,preempt,T_stream,T_irq
176,dispatch,T_irq,start_or_resume
180,complete,T_irq,job_complete
180,dispatch,T_ctrl,start_or_resume
182,release,T_irq,job_ready
182,preempt,T_ctrl,T_irq
182,dispatch,T_irq,start_or_resume
186,complete,T_irq,job_complete
186,dispatch,T_ctrl,start_or_resume
190,complete,T_ctrl,job_complete
190,dispatch,T_map,start_or_resume
196,release,T_irq,job_ready
196,preempt,T_map,T_irq
196,dispatch,T_irq,start_or_resume
198,release,T_ctrl,job_ready
200,complete,T_irq,job_complete
200,dispatch,T_ctrl,start_or_resume
206,complete,T_ctrl,job_complete
206,dispatch,T_map,start_or_resume
208,complete,T_map,job_complete
208,dispatch,T_stream,start_or_resume
210,release,T_irq,job_ready
210,preempt,T_stream,T_irq
210,dispatch,T_irq,start_or_resume
214,complete,T_irq,job_complete
214,dispatch,T_stream,start_or_resume
220,release,T_ctrl,job_ready
220,release,T_map,job_ready
220,preempt,T_stream,T_ctrl
220,dispatch,T_ctrl,start_or_resume
224,release,T_irq,job_ready
224,preempt,T_ctrl,T_irq
224,dispatch,T_irq,start_or_resume
228,complete,T_irq,job_complete
228,dispatch,T_ctrl,start_or_resume
230,complete,T_ctrl,job_complete
230,dispatch,T_map,start_or_resume
238,complete,T_map,job_complete
238,release,T_irq,job_ready
238,dispatch,T_irq,start_or_resume
242,complete,T_irq,job_complete
242,release,T_ctrl,job_ready
242,dispatch,T_ctrl,start_or_resume
248,complete,T_ctrl,job_complete
248,dispatch,T_stream,start_or_resume
251,complete,T_stream,job_complete
252,release,T_irq,job_ready
252,dispatch,T_irq,start_or_resume
256,complete,T_irq,job_complete
264,release,T_ctrl,job_ready
264,release,T_map,job_ready
264,release,T_stream,job_ready
264,dispatch,T_ctrl,start_or_resume
266,release,T_irq,job_ready
266,preempt,T_ctrl,T_irq
266,dispatch,T_irq,start_or_resume
270,complete,T_irq,job_complete
270,dispatch,T_ctrl,start_or_resume
274,complete,T_ctrl,job_complete
274,dispatch,T_map,start_or_resume
280,release,T_irq,job_ready
280,preempt,T_map,T_irq
280,dispatch,T_irq,start_or_resume
284,complete,T_irq,job_complete
284,dispatch,T_map,start_or_resume
286,complete,T_map,job_complete
286,release,T_ctrl,job_ready
286,dispatch,T_ctrl,start_or_resume
292,complete,T_ctrl,job_complete
292,dispatch,T_stream,start_or_resume
294,release,T_irq,job_ready
294,preempt,T_stream,T_irq
294,dispatch,T_irq,start_or_resume
298,complete,T_irq,job_complete
298,dispatch,T_stream,start_or_resume
307,complete,T_stream,job_complete
308,release,T_irq,job_ready
308,release,T_ctrl,job_ready
308,release,T_map,job_ready
308,dispatch,T_irq,start_or_resume
312,complete,T_irq,job_complete
312,dispatch,T_ctrl,start_or_resume
318,complete,T_ctrl,job_complete
318,dispatch,T_map,start_or_resume
322,release,T_irq,job_ready
322,preempt,T_map,T_irq
322,dispatch,T_irq,start_or_resume
326,complete,T_irq,job_complete
326,dispatch,T_map,start_or_resume
330,complete,T_map,job_complete
330,release,T_ctrl,job_ready
330,dispatch,T_ctrl,start_or_resume
336,complete,T_ctrl,job_complete
336,release,T_irq,job_ready
336,dispatch,T_irq,start_or_resume
340,complete,T_irq,job_complete
350,release,T_irq,job_ready
350,dispatch,T_irq,start_or_resume
